AAPT1 LOC108807389
LOC103833621 LOC108822786
LOC103833623 LOC108818690
LOC103833624 LOC108819144
LOC103833637 LOC108818787
LOC103833638 LOC108813385
LOC103833644 LOC108821435
LOC103833646 LOC108820175
LOC103833647 LOC108823102
LOC103833651 LOC108821334
LOC103833655 LOC108819505
LOC103833659 LOC108835713
LOC103833661 LOC108822197
LOC103833662 LOC108852334
LOC103833663 LOC108822400
LOC103833665 LOC108813236
LOC103833666 LOC108822514
LOC103833670 LOC108820166
LOC103833671 LOC108822644
LOC103833672 LOC108819061
LOC103833673 LOC108819189
LOC103833676 LOC108805756
LOC103833678 LOC108819052
LOC103833679 LOC108842495
LOC103833680 LOC108819066
LOC103833681 LOC108820160
LOC103833683 LOC108818642
LOC103833684 LOC108820966
LOC103833685 LOC108809126
LOC103833688 LOC108821496
LOC103833689 LOC108835328
LOC103833690 LOC108818754
LOC103833691 LOC108823066
LOC103833692 LOC108821096
LOC103833694 LOC108833810
LOC103833696 LOC108818924
LOC103833697 LOC108820153
LOC103833698 LOC108822969
LOC103833699 LOC108819508
LOC103833700 LOC108821010
LOC103833703 LOC108830852
LOC103833708 LOC108819256
LOC103833709 LOC108819255
LOC103833710 LOC108820151
LOC103833712 LOC108847212
LOC103833714 LOC108806328
LOC103833720 LOC108820173
LOC103833721 LOC108825383
LOC103833727 LOC108850560
LOC103833728 LOC108809812
LOC103833733 LOC108819373
LOC103833737 LOC108818702
LOC103833738 LOC108820150
LOC103833740 LOC108822865
LOC103833741 LOC108821349
LOC103833742 LOC108818931
LOC103833744 LOC108822215
LOC103833746 LOC108822217
LOC103833747 LOC108822462
LOC103833748 LOC108822660
LOC103833750 LOC108819326
LOC103833751 LOC108820685
LOC103833753 LOC108823059
LOC103833755 LOC108821776
LOC103833757 LOC108821946
LOC103833758 LOC108822999
LOC103833759 LOC108822875
LOC103833760 LOC108859240
LOC103833762 LOC108806716
LOC103833763 LOC108820585
LOC103833764 LOC108838748
LOC103833765 LOC108819188
LOC103833766 LOC108821838
LOC103833769 LOC108820784
LOC103833770 LOC108820814
LOC103833774 LOC108809006
LOC103833776 LOC108822690
LOC103833778 LOC108818881
LOC103833779 LOC108819440
LOC103833780 LOC108820988
LOC103833781 LOC108821580
LOC103833785 LOC108809680
LOC103833789 LOC108835428
LOC103833790 LOC108835427
LOC103833791 LOC108819406
LOC103833792 LOC108821081
LOC103833793 LOC108822654
LOC103833794 LOC108822653
LOC103833797 LOC108821262
LOC103833800 LOC108820891
LOC103833801 LOC108818786
LOC103833805 LOC108819092
LOC103833806 LOC108818982
LOC103833807 LOC108818980
LOC103833808 LOC108819110
LOC103833809 LOC108823026
LOC103833810 LOC108823025
LOC103833811 LOC108810152
LOC103833816 LOC108820793
LOC103833819 LOC108821066
LOC103833823 LOC108821441
LOC103833824 LOC108821864
LOC103833827 LOC108820781
LOC103833830 LOC108823069
LOC103833834 LOC108836382
LOC103833835 LOC108820055
LOC103833836 LOC108820838
LOC103833838 LOC108821218
LOC103833839 LOC108805614
LOC103833841 LOC108820138
LOC103833849 LOC108825987
LOC103833853 LOC108836777
LOC103833854 LOC108834001
LOC103833855 LOC108826331
LOC103833856 LOC108823944
LOC103833859 LOC108825511
LOC103833860 LOC108830409
LOC103833861 LOC108825509
LOC103833862 LOC108833154
LOC103833869 LOC108811287
LOC103833870 LOC108810451
LOC103833872 LOC108824912
LOC103833874 LOC108825516
LOC103833875 LOC108825510
LOC103833876 LOC108825603
LOC103833880 LOC108823596
LOC103833881 LOC108823751
LOC103833882 LOC108824331
LOC103833883 LOC108825694
LOC103833884 LOC108828192
LOC103833885 LOC108827539
LOC103833886 LOC108828016
LOC103833887 LOC108828015
LOC103833890 LOC108826049
LOC103833893 LOC108831503
LOC103833895 LOC108823377
LOC103833897 LOC108826051
LOC103833898 LOC108825798
LOC103833900 LOC108823693
LOC103833901 LOC108828213
LOC103833903 LOC108824309
LOC103833904 LOC108827992
LOC103833905 LOC108824901
LOC103833906 LOC108824397
LOC103833907 LOC108828711
LOC103833908 LOC108828712
LOC103833909 LOC108811178
LOC103833910 LOC108826625
LOC103833911 LOC108826069
LOC103833913 LOC108826046
LOC103833914 LOC108828492
LOC103833915 LOC108828491
LOC103833916 LOC108823688
LOC103833918 LOC108835792
LOC103833919 LOC108835793
LOC103833921 LOC108828216
LOC103833923 LOC108823814
LOC103833925 LOC108838705
LOC103833926 LOC108827495
LOC103833928 LOC108827494
LOC103833929 LOC108824113
LOC103833930 LOC108828508
LOC103833931 LOC108823506
LOC103833932 LOC108832609
LOC103833937 LOC108825886
LOC103833938 LOC108806128
LOC103833939 LOC108810372
LOC103833941 LOC108805894
LOC103833943 LOC108808453
LOC103833953 LOC108815508
LOC103833955 LOC108815507
LOC103833964 LOC108817173
LOC103833965 LOC108830793
LOC103833966 LOC108826522
LOC103833967 LOC108858340
LOC103833968 LOC108813575
LOC103833970 LOC108831149
LOC103833974 LOC108836917
LOC103833976 LOC108820612
LOC103833978 LOC108820608
LOC103833979 LOC108820613
LOC103833982 LOC108820602
LOC103833983 LOC108820610
LOC103833984 LOC108820611
LOC103833992 LOC108820888
LOC103833993 LOC108820889
LOC103833994 LOC108820887
LOC103833995 LOC108821263
LOC103833996 LOC108821264
LOC103833999 LOC108822562
LOC103834000 LOC108819419
LOC103834003 LOC108821307
LOC103834004 LOC108821783
LOC103834005 LOC108820797
LOC103834007 LOC108821952
LOC103834008 LOC108808954
LOC103834010 LOC108821950
LOC103834011 LOC108818726
LOC103834012 LOC108818725
LOC103834013 LOC108819047
LOC103834015 LOC108820043
LOC103834016 LOC108821818
LOC103834019 LOC108822586
LOC103834020 LOC108822587
LOC103834021 LOC108823058
LOC103834022 LOC108820675
LOC103834023 LOC108818849
LOC103834026 LOC108820893
LOC103834031 LOC108820851
LOC103834035 LOC108819009
LOC103834036 LOC108806919
LOC103834038 LOC108855361
LOC103834039 LOC108821438
LOC103834040 LOC108818853
LOC103834041 LOC108822829
LOC103834042 LOC108822827
LOC103834044 LOC108819130
LOC103834045 LOC108823057
LOC103834046 LOC108819246
LOC103834048 LOC108807751
LOC103834052 LOC108822871
LOC103834053 LOC108818797
LOC103834054 LOC108834114
LOC103834055 LOC108820040
LOC103834056 LOC108831105
LOC103834057 LOC108821602
LOC103834060 LOC108821467
LOC103834061 LOC108820857
LOC103834062 LOC108818818
LOC103834064 LOC108821700
LOC103834068 LOC108820863
LOC103834069 LOC108820034
LOC103834070 LOC108823115
LOC103834071 LOC108818939
LOC103834072 LOC108821945
LOC103834078 LOC108821109
LOC103834080 LOC108823134
LOC103834081 LOC108833367
LOC103834083 LOC108853858
LOC103834087 LOC108837933
LOC103834090 LOC108821466
LOC103834091 LOC108821339
LOC103834092 LOC108821452
LOC103834093 LOC108820941
LOC103834094 LOC108821322
LOC103834095 LOC108818666
LOC103834099 LOC108818647
LOC103834100 LOC108822557
LOC103834104 LOC108822966
LOC103834108 LOC108818682
LOC103834109 LOC108843088
LOC103834110 LOC108818727
LOC103834111 LOC108820583
LOC103834112 LOC108821693
LOC103834113 LOC108813403
LOC103834114 LOC108822813
LOC103834115 LOC108822947
LOC103834119 LOC108823086
LOC103834120 LOC108821351
LOC103834122 LOC108822622
LOC103834124 LOC108822623
LOC103834125 LOC108820026
LOC103834126 LOC108820027
LOC103834127 LOC108819446
LOC103834128 LOC108819445
LOC103834129 LOC108807740
LOC103834132 LOC108819272
LOC103834133 LOC108819101
LOC103834135 LOC108810227
LOC103834136 LOC108822968
LOC103834139 LOC108813501
LOC103834140 LOC108822610
LOC103834151 LOC108818700
LOC103834152 LOC108818701
LOC103834153 LOC108823053
LOC103834154 LOC108820013
LOC103834155 LOC108822663
LOC103834157 LOC108818753
LOC103834158 LOC108822687
LOC103834159 LOC108822689
LOC103834160 LOC108821034
LOC103834166 LOC108829398
LOC103834167 LOC108821426
LOC103834168 LOC108819102
LOC103834170 LOC108821375
LOC103834171 LOC108809179
LOC103834172 LOC108821787
LOC103834173 LOC108818828
LOC103834174 LOC108821983
LOC103834175 LOC108855378
LOC103834176 LOC108822812
LOC103834177 LOC108819104
LOC103834178 LOC108821777
LOC103834183 LOC108818775
LOC103834184 LOC108820826
LOC103834185 LOC108819994
LOC103834186 LOC108822332
LOC103834188 LOC108838261
LOC103834190 LOC108806731
LOC103834191 LOC108822328
LOC103834193 LOC108818827
LOC103834198 LOC108821981
LOC103834199 LOC108820783
LOC103834200 LOC108819238
LOC103834202 LOC108821590
LOC103834203 LOC108819313
LOC103834206 LOC108819462
LOC103834207 LOC108818670
LOC103834208 LOC108820774
LOC103834209 LOC108819082
LOC103834212 LOC108819013
LOC103834213 LOC108822739
LOC103834215 LOC108819502
LOC103834217 LOC108822642
LOC103834220 LOC108832964
LOC103834221 LOC108809489
LOC103834225 LOC108819423
LOC103834226 LOC108807259
LOC103834227 LOC108819424
LOC103834228 LOC108830088
LOC103834230 LOC108830077
LOC103834233 LOC108821587
LOC103834235 LOC108830087
LOC103834236 LOC108830085
LOC103834239 LOC108822230
LOC103834240 LOC108822228
LOC103834241 LOC108834300
LOC103834242 LOC108822229
LOC103834245 LOC108813033
LOC103834246 LOC108822994
LOC103834247 LOC108819483
LOC103834249 LOC108811028
LOC103834250 LOC108822972
LOC103834251 LOC108822167
LOC103834252 LOC108835212
LOC103834253 LOC108813034
LOC103834254 LOC108821347
LOC103834257 LOC108837856
LOC103834259 LOC108831973
LOC103834261 LOC108807739
LOC103834263 LOC108820483
LOC103834267 LOC108820495
LOC103834269 LOC108862622
LOC103834270 LOC108820484
LOC103834271 LOC108820491
LOC103834273 LOC108820475
LOC103834274 LOC108820496
LOC103834275 LOC108820482
LOC103834276 LOC108820485
LOC103834278 LOC108819486
LOC103834279 LOC108807142
LOC103834280 LOC108820504
LOC103834281 LOC108820506
LOC103834282 LOC108820502
LOC103834284 LOC108820500
LOC103834285 LOC108819604
LOC103834289 LOC108805981
LOC103834291 LOC108821085
LOC103834292 LOC108822368
LOC103834293 LOC108819114
LOC103834294 LOC108819129
LOC103834295 LOC108834961
LOC103834297 LOC108821660
LOC103834298 LOC108819968
LOC103834300 LOC108821001
LOC103834305 LOC108810008
LOC103834307 LOC108847091
LOC103834315 LOC108821114
LOC103834323 LOC108843089
LOC103834326 LOC108807477
LOC103834337 LOC108806841
LOC103834349 LOC108830076
LOC103834351 LOC108842027
LOC103834353 LOC108820474
LOC103834355 LOC108812007
LOC103834359 LOC108851829
LOC103834360 LOC108848874
LOC103834365 LOC108819451
LOC103834367 LOC108822369
LOC103834368 LOC108822370
LOC103834369 LOC108818743
LOC103834370 LOC108806133
LOC103834371 LOC108821699
LOC103834376 LOC108820746
LOC103834377 LOC108818944
LOC103834378 LOC108819346
LOC103834379 LOC108819421
LOC103834380 LOC108821670
LOC103834381 LOC108819058
LOC103834383 LOC108823050
LOC103834385 LOC108823051
LOC103834387 LOC108823049
LOC103834391 LOC108821636
LOC103834392 LOC108832751
LOC103834393 LOC108819000
LOC103834394 LOC108822464
LOC103834395 LOC108821710
LOC103834396 LOC108819494
LOC103834397 LOC108819293
LOC103834398 LOC108813673
LOC103834399 LOC108819079
LOC103834400 LOC108819316
LOC103834401 LOC108820731
LOC103834402 LOC108820748
LOC103834404 LOC108819043
LOC103834405 LOC108819364
LOC103834406 LOC108820897
LOC103834409 LOC108821204
LOC103834410 LOC108822067
LOC103834411 LOC108822066
LOC103834412 LOC108822068
LOC103834413 LOC108821357
LOC103834414 LOC108840792
LOC103834415 LOC108823071
LOC103834416 LOC108821859
LOC103834417 LOC108836874
LOC103834418 LOC108818699
LOC103834419 LOC108819056
LOC103834423 LOC108822858
LOC103834424 LOC108821309
LOC103834426 LOC108822190
LOC103834427 LOC108819429
LOC103834428 LOC108830561
LOC103834431 LOC108829218
LOC103834432 LOC108832190
LOC103834433 LOC108832192
LOC103834434 LOC108832194
LOC103834435 LOC108832189
LOC103834437 LOC108826778
LOC103834438 LOC108832195
LOC103834439 LOC108830566
LOC103834440 LOC108832196
LOC103834441 LOC108832193
LOC103834442 LOC108819945
LOC103834443 LOC108821914
LOC103834444 LOC108821912
LOC103834446 LOC108821017
LOC103834447 LOC108821915
LOC103834448 LOC108821913
LOC103834451 LOC108821282
LOC103834452 LOC108818805
LOC103834453 LOC108814670
LOC103834454 LOC108815981
LOC103834456 LOC108821634
LOC103834457 LOC108819942
LOC103834459 LOC108819294
LOC103834460 LOC108819938
LOC103834462 LOC108822419
LOC103834463 LOC108822418
LOC103834464 LOC108822420
LOC103834465 LOC108833395
LOC103834466 LOC108833398
LOC103834467 LOC108830575
LOC103834469 LOC108832840
LOC103834470 LOC108832839
LOC103834471 LOC108832838
LOC103834472 LOC108834434
LOC103834473 LOC108821824
LOC103834475 LOC108830147
LOC103834478 LOC108821678
LOC103834479 LOC108830138
LOC103834480 LOC108830156
LOC103834482 LOC108830574
LOC103834483 LOC108830154
LOC103834484 LOC108830155
LOC103834487 LOC108830151
LOC103834488 LOC108830152
LOC103834489 LOC108830149
LOC103834490 LOC108830140
LOC103834491 LOC108830153
LOC103834492 LOC108833087
LOC103834493 LOC108833084
LOC103834495 LOC108818883
LOC103834496 LOC108821015
LOC103834498 LOC108830558
LOC103834499 LOC108821056
LOC103834500 LOC108819139
LOC103834502 LOC108833386
LOC103834504 LOC108819490
LOC103834506 LOC108830564
LOC103834507 LOC108819006
LOC103834509 LOC108819299
LOC103834510 LOC108819297
LOC103834511 LOC108819498
LOC103834512 LOC108819087
LOC103834513 LOC108841104
LOC103834517 LOC108822774
LOC103834519 LOC108819211
LOC103834522 LOC108821210
LOC103834523 LOC108830573
LOC103834528 LOC108820094
LOC103834530 LOC108821031
LOC103834532 LOC108830572
LOC103834537 LOC108860377
LOC103834540 LOC108832191
LOC103834542 LOC108821679
LOC103834546 LOC108832912
LOC103834549 LOC108822282
LOC103834550 LOC108822283
LOC103834551 LOC108819515
LOC103834554 LOC108821448
LOC103834555 LOC108822713
LOC103834557 LOC108822712
LOC103834558 LOC108819418
LOC103834559 LOC108818834
LOC103834560 LOC108819932
LOC103834561 LOC108821795
LOC103834563 LOC108822579
LOC103834564 LOC108809922
LOC103834566 LOC108821446
LOC103834568 LOC108819136
LOC103834570 LOC108822782
LOC103834571 LOC108822784
LOC103834573 LOC108834261
LOC103834574 LOC108837172
LOC103834575 LOC108819207
LOC103834576 LOC108820929
LOC103834588 LOC108811914
LOC103834589 LOC108819394
LOC103834590 LOC108819432
LOC103834591 LOC108823124
LOC103834592 LOC108823125
LOC103834593 LOC108820975
LOC103834594 LOC108831920
LOC103834595 LOC108822124
LOC103834597 LOC108822131
LOC103834598 LOC108818770
LOC103834600 LOC108818771
LOC103834601 LOC108819322
LOC103834602 LOC108840990
LOC103834605 LOC108823070
LOC103834607 LOC108806708
LOC103834608 LOC108822116
LOC103834609 LOC108819484
LOC103834610 LOC108822854
LOC103834611 LOC108822853
LOC103834612 LOC108819195
LOC103834614 LOC108821356
LOC103834617 LOC108813292
LOC103834618 LOC108819016
LOC103834622 LOC108821932
LOC103834623 LOC108821931
LOC103834624 LOC108822615
LOC103834625 LOC108821929
LOC103834626 LOC108821928
LOC103834627 LOC108813291
LOC103834629 LOC108819539
LOC103834634 LOC108819403
LOC103834635 LOC108819377
LOC103834636 LOC108820990
LOC103834637 LOC108820989
LOC103834639 LOC108832183
LOC103834641 LOC108832184
LOC103834643 LOC108839024
LOC103834644 LOC108819010
LOC103834648 LOC108831667
LOC103834649 LOC108831670
LOC103834650 LOC108831666
LOC103834651 LOC108820756
LOC103834652 LOC108820722
LOC103834653 LOC108818715
LOC103834655 LOC108806759
LOC103834656 LOC108819348
LOC103834657 LOC108821835
LOC103834660 LOC108820764
LOC103834661 LOC108820620
LOC103834662 LOC108821706
LOC103834663 LOC108821297
LOC103834664 LOC108820867
LOC103834666 LOC108833919
LOC103834667 LOC108833915
LOC103834668 LOC108821852
LOC103834669 LOC108821346
LOC103834673 LOC108820742
LOC103834676 LOC108821198
LOC103834677 LOC108821265
LOC103834679 LOC108819062
LOC103834680 LOC108835419
LOC103834681 LOC108809461
LOC103834682 LOC108836989
LOC103834683 LOC108820749
LOC103834685 LOC108822937
LOC103834686 LOC108818755
LOC103834688 LOC108822600
LOC103834689 LOC108836040
LOC103834691 LOC108821720
LOC103834693 LOC108821802
LOC103834694 LOC108821807
LOC103834695 LOC108821805
LOC103834696 LOC108821801
LOC103834697 LOC108830568
LOC103834698 LOC108821800
LOC103834700 LOC108821804
LOC103834702 LOC108822550
LOC103834703 LOC108840428
LOC103834704 LOC108822547
LOC103834705 LOC108822548
LOC103834707 LOC108821478
LOC103834708 LOC108819300
LOC103834709 LOC108819034
LOC103834710 LOC108819035
LOC103834711 LOC108819032
LOC103834713 LOC108818985
LOC103834716 LOC108819525
LOC103834717 LOC108821778
LOC103834718 LOC108819526
LOC103834719 LOC108822402
LOC103834720 LOC108822406
LOC103834722 LOC108822405
LOC103834724 LOC108822403
LOC103834725 LOC108819481
LOC103834726 LOC108819891
LOC103834728 LOC108822818
LOC103834732 LOC108822862
LOC103834733 LOC108822863
LOC103834738 LOC108839830
LOC103834739 LOC108821183
LOC103834740 LOC108822759
LOC103834742 LOC108821090
LOC103834743 LOC108819317
LOC103834747 LOC108818900
LOC103834748 LOC108821501
LOC103834749 LOC108830560
LOC103834751 LOC108819530
LOC103834753 LOC108822181
LOC103834754 LOC108822180
LOC103834755 LOC108821610
LOC103834756 LOC108819914
LOC103834758 LOC108818633
LOC103834759 LOC108822000
LOC103834760 LOC108821450
LOC103834761 LOC108819239
LOC103834762 LOC108821241
LOC103834763 LOC108818963
LOC103834765 LOC108818791
LOC103834766 LOC108821376
LOC103834767 LOC108832651
LOC103834769 LOC108821582
LOC103834770 LOC108821543
LOC103834771 LOC108820815
LOC103834772 LOC108822697
LOC103834773 LOC108838775
LOC103834774 LOC108823015
LOC103834775 LOC108819405
LOC103834776 LOC108822371
LOC103834778 LOC108820772
LOC103834779 LOC108833499
LOC103834780 LOC108822102
LOC103834781 LOC108819176
LOC103834782 LOC108819593
LOC103834786 LOC108819524
LOC103834787 LOC108818992
LOC103834794 LOC108821130
LOC103834795 LOC108821103
LOC103834796 LOC108840004
LOC103834798 LOC108820819
LOC103834799 LOC108822754
LOC103834802 LOC108822428
LOC103834803 LOC108833500
LOC103834804 LOC108822429
LOC103834808 LOC108821035
LOC103834810 LOC108850222
LOC103834811 LOC108821509
LOC103834812 LOC108822151
LOC103834813 LOC108821437
LOC103834818 LOC108822360
LOC103834819 LOC108819030
LOC103834821 LOC108821828
LOC103834822 LOC108821631
LOC103834824 LOC108823001
LOC103834825 LOC108822765
LOC103834826 LOC108820858
LOC103834827 LOC108821050
LOC103834828 LOC108822864
LOC103834831 LOC108819411
LOC103834832 LOC108821132
LOC103834833 LOC108812900
LOC103834834 LOC108820695
LOC103834835 LOC108819072
LOC103834836 LOC108819471
LOC103834838 LOC108821877
LOC103834839 LOC108821875
LOC103834840 LOC108819899
LOC103834842 LOC108818663
LOC103834844 LOC108821872
LOC103834845 LOC108821480
LOC103834846 LOC108820689
LOC103834847 LOC108819897
LOC103834848 LOC108809346
LOC103834849 LOC108819045
LOC103834850 LOC108818655
LOC103834851 LOC108818656
LOC103834854 LOC108821672
LOC103834855 LOC108818968
LOC103834856 LOC108819372
LOC103834858 LOC108822221
LOC103834859 LOC108811896
LOC103834860 LOC108822753
LOC103834861 LOC108822955
LOC103834862 LOC108818837
LOC103834865 LOC108819378
LOC103834866 LOC108822744
LOC103834867 LOC108822870
LOC103834868 LOC108820914
LOC103834871 LOC108823088
LOC103834872 LOC108853082
LOC103834874 LOC108813515
LOC103834875 LOC108819885
LOC103834877 LOC108822397
LOC103834881 LOC108822395
LOC103834882 LOC108821476
LOC103834886 LOC108821188
LOC103834888 LOC108821344
LOC103834889 LOC108821257
LOC103834890 LOC108819065
LOC103834891 LOC108822424
LOC103834893 LOC108842243
LOC103834894 LOC108807340
LOC103834896 LOC108822904
LOC103834897 LOC108822336
LOC103834898 LOC108822338
LOC103834899 LOC108860317
LOC103834900 LOC108823148
LOC103834901 LOC108821304
LOC103834902 LOC108820697
LOC103834903 LOC108819164
LOC103834905 LOC108819379
LOC103834907 LOC108821120
LOC103834908 LOC108821194
LOC103834909 LOC108820573
LOC103834910 LOC108820569
LOC103834914 LOC108820562
LOC103834915 LOC108820571
LOC103834917 LOC108820577
LOC103834919 LOC108819559
LOC103834920 LOC108818879
LOC103834921 LOC108820920
LOC103834922 LOC108820641
LOC103834925 LOC108820638
LOC103834926 LOC108835186
LOC103834927 LOC108820636
LOC103834928 LOC108821853
LOC103834929 LOC108810848
LOC103834931 LOC108834497
LOC103834933 LOC108821901
LOC103834937 LOC108821900
LOC103834938 LOC108818864
LOC103834939 LOC108821637
LOC103834943 LOC108820534
LOC103834945 LOC108821271
LOC103834946 LOC108819320
LOC103834947 LOC108809476
LOC103834948 LOC108821615
LOC103834949 LOC108821613
LOC103834951 LOC108821239
LOC103834952 LOC108823084
LOC103834953 LOC108819555
LOC103834954 LOC108819028
LOC103834955 LOC108819029
LOC103834958 LOC108810610
LOC103834959 LOC108819185
LOC103834960 LOC108818713
LOC103834961 LOC108820952
LOC103834962 LOC108820760
LOC103834963 LOC108819578
LOC103834964 LOC108821326
LOC103834966 LOC108836944
LOC103834967 LOC108831053
LOC103834969 LOC108806318
LOC103834972 LOC108822439
LOC103834973 LOC108822440
LOC103834974 LOC108819172
LOC103834976 LOC108805665
LOC103834978 LOC108819171
LOC103834979 LOC108820674
LOC103834984 LOC108831054
LOC103834985 LOC108822438
LOC103834986 LOC108821566
LOC103834987 LOC108821433
LOC103834988 LOC108821168
LOC103834989 LOC108818762
LOC103834991 LOC108822821
LOC103834992 LOC108821275
LOC103834994 LOC108818959
LOC103834995 LOC108822918
LOC103834996 LOC108842244
LOC103834998 LOC108821442
LOC103834999 LOC108823097
LOC103835000 LOC108823098
LOC103835002 LOC108821327
LOC103835003 LOC108818766
LOC103835004 LOC108820766
LOC103835005 LOC108821399
LOC103835006 LOC108818926
LOC103835007 LOC108806163
LOC103835008 LOC108851746
LOC103835009 LOC108821625
LOC103835010 LOC108821623
LOC103835011 LOC108821622
LOC103835012 LOC108821621
LOC103835013 LOC108821620
LOC103835014 LOC108820548
LOC103835017 LOC108820546
LOC103835018 LOC108820551
LOC103835020 LOC108820544
LOC103835022 LOC108820554
LOC103835023 LOC108821049
LOC103835025 LOC108820550
LOC103835026 LOC108833258
LOC103835027 LOC108820557
LOC103835028 LOC108820556
LOC103835030 LOC108820841
LOC103835032 LOC108821037
LOC103835033 LOC108820549
LOC103835034 LOC108819177
LOC103835035 LOC108818814
LOC103835036 LOC108833254
LOC103835038 LOC108823063
LOC103835039 LOC108819132
LOC103835041 LOC108822030
LOC103835043 LOC108821314
LOC103835048 LOC108819362
LOC103835049 LOC108821148
LOC103835050 LOC108823030
LOC103835051 LOC108823031
LOC103835055 LOC108820938
LOC103835056 LOC108819846
LOC103835057 LOC108820936
LOC103835058 LOC108821159
LOC103835059 LOC108818971
LOC103835060 LOC108821822
LOC103835061 LOC108821290
LOC103835062 LOC108820873
LOC103835065 LOC108819070
LOC103835066 LOC108821717
LOC103835067 LOC108819546
LOC103835068 LOC108822677
LOC103835069 LOC108822676
LOC103835070 LOC108821560
LOC103835072 LOC108818719
LOC103835073 LOC108853781
LOC103835074 LOC108830733
LOC103835075 LOC108829384
LOC103835076 LOC108830731
LOC103835077 LOC108820968
LOC103835079 LOC108821181
LOC103835080 LOC108820745
LOC103835081 LOC108830726
LOC103835082 LOC108830734
LOC103835085 LOC108818703
LOC103835086 LOC108829363
LOC103835087 LOC108822543
LOC103835089 LOC108822545
LOC103835090 LOC108821942
LOC103835091 LOC108821940
LOC103835092 LOC108821938
LOC103835093 LOC108821939
LOC103835095 LOC108829376
LOC103835097 LOC108820754
LOC103835098 LOC108822544
LOC103835099 LOC108820788
LOC103835100 LOC108821484
LOC103835101 LOC108818998
LOC103835102 LOC108819210
LOC103835103 LOC108822979
LOC103835104 LOC108822503
LOC103835105 LOC108829381
LOC103835106 LOC108822504
LOC103835108 LOC108818792
LOC103835109 LOC108819826
LOC103835110 LOC108821180
LOC103835111 LOC108819824
LOC103835112 LOC108822153
LOC103835113 LOC108821517
LOC103835118 LOC108821479
LOC103835119 LOC108819120
LOC103835120 LOC108819208
LOC103835122 LOC108822274
LOC103835123 LOC108819020
LOC103835124 LOC108819602
LOC103835125 LOC108823136
LOC103835126 LOC108829378
LOC103835128 LOC108822723
LOC103835129 LOC108820703
LOC103835130 LOC108821956
LOC103835131 LOC108821953
LOC103835132 LOC108821955
LOC103835133 LOC108821960
LOC103835134 LOC108821954
LOC103835135 LOC108836379
LOC103835136 LOC108821958
LOC103835137 LOC108822685
LOC103835138 LOC108822832
LOC103835139 LOC108822447
LOC103835140 LOC108822448
LOC103835142 LOC108834825
LOC103835143 LOC108834826
LOC103835144 LOC108834824
LOC103835145 LOC108822882
LOC103835147 LOC108822536
LOC103835148 LOC108820868
LOC103835149 LOC108822633
LOC103835150 LOC108819431
LOC103835151 LOC108819449
LOC103835152 LOC108822059
LOC103835153 LOC108820872
LOC103835154 LOC108818999
LOC103835155 LOC108819196
LOC103835156 LOC108835511
LOC103835157 LOC108816365
LOC103835158 LOC108842245
LOC103835159 LOC108822506
LOC103835162 LOC108822950
LOC103835163 LOC108819818
LOC103835164 LOC108822372
LOC103835166 LOC108818948
LOC103835167 LOC108822798
LOC103835168 LOC108819001
LOC103835169 LOC108823120
LOC103835171 LOC108819248
LOC103835172 LOC108822845
LOC103835173 LOC108818830
LOC103835174 LOC108819137
LOC103835175 LOC108821726
LOC103835176 LOC108818863
LOC103835177 LOC108821737
LOC103835178 LOC108821741
LOC103835179 LOC108821735
LOC103835180 LOC108829366
LOC103835181 LOC108821739
LOC103835182 LOC108821742
LOC103835183 LOC108821738
LOC103835184 LOC108821736
LOC103835185 LOC108822246
LOC103835186 LOC108822247
LOC103835187 LOC108822248
LOC103835189 LOC108822245
LOC103835190 LOC108822585
LOC103835191 LOC108818990
LOC103835192 LOC108822646
LOC103835193 LOC108818861
LOC103835195 LOC108822157
LOC103835196 LOC108822160
LOC103835197 LOC108822155
LOC103835198 LOC108822433
LOC103835199 LOC108822434
LOC103835200 LOC108822435
LOC103835201 LOC108822804
LOC103835203 LOC108821707
LOC103835204 LOC108819270
LOC103835205 LOC108822719
LOC103835206 LOC108822720
LOC103835207 LOC108822805
LOC103835210 LOC108822907
LOC103835211 LOC108829389
LOC103835212 LOC108818657
LOC103835213 LOC108822567
LOC103835214 LOC108822683
LOC103835215 LOC108822684
LOC103835216 LOC108822456
LOC103835217 LOC108819226
LOC103835218 LOC108822445
LOC103835220 LOC108822078
LOC103835221 LOC108820717
LOC103835222 LOC108829082
LOC103835223 LOC108819444
LOC103835224 LOC108822196
LOC103835226 LOC108818693
LOC103835227 LOC108821506
LOC103835228 LOC108818759
LOC103835229 LOC108823147
LOC103835231 LOC108823146
LOC103835232 LOC108822953
LOC103835233 LOC108822952
LOC103835234 LOC108822951
LOC103835235 LOC108833854
LOC103835236 LOC108818952
LOC103835237 LOC108828936
LOC103835238 LOC108818636
LOC103835240 LOC108821030
LOC103835242 LOC108821285
LOC103835244 LOC108829382
LOC103835246 LOC108821336
LOC103835250 LOC108823081
LOC103835251 LOC108823138
LOC103835253 LOC108820811
LOC103835254 LOC108823153
LOC103835255 LOC108822694
LOC103835256 LOC108820909
LOC103835257 LOC108820908
LOC103835259 LOC108820904
LOC103835261 LOC108820902
LOC103835262 LOC108820910
LOC103835264 LOC108822466
LOC103835265 LOC108822467
LOC103835266 LOC108819359
LOC103835268 LOC108819381
LOC103835271 LOC108821324
LOC103835274 LOC108818794
LOC103835275 LOC108822641
